taskid,HIGH-Dtime,HIGH-Etime,LOW-Dtime,LOW-Etime
11,147873.4,152466.666667,161038.866667,180866.666667
10,247577.4,257000.0,337360.8,341933.333333
13,162372.866667,187800.0,134207.066667,149400.0
12,150402.533333,174733.333333,146249.733333,145066.666667
15,201783.866667,233866.666667,226287.066667,220066.666667
14,149682.6,165866.666667,125742.333333,149200.0
17,261687.733333,248400.0,236631.933333,201200.0
16,149435.733333,171666.666667,103797.333333,114333.333333
19,266028.933333,322800.0,365577.0,346600.0
18,211748.466667,227066.666667,187501.466667,178133.333333
20,217682.266667,226200.0,203781.066667,196066.666667
1,223763.733333,260400.0,261471.4,249133.333333
3,70391.9333333,91466.6666667,87914.6,72000.0
2,162224.866667,170266.666667,238344.8,235800.0
5,184155.0,210733.333333,182776.533333,202266.666667
4,173635.133333,194266.666667,165589.933333,163000.0
7,189815.8,209133.333333,191305.866667,192133.333333
6,156986.733333,182533.333333,158557.333333,155266.666667
9,197580.733333,227066.666667,264868.266667,264533.333333
8,181348.333333,190200.0,189273.8,189200.0
