taskid,MIDSAT+LOW,SAT+HIGH,UNSAT+HIGH,MIDSAT+HIGH,UNSAT+LOW,SAT+LOW
11,130234.0,165702.2,177354.4,100563.6,166138.8,186743.8
10,292614.6,211038.0,221611.6,310082.6,458015.4,261452.4
13,146581.6,102668.4,217906.8,166543.4,140696.6,115343.0
12,130332.8,90929.2,206574.6,153703.8,192130.6,116285.8
15,262739.0,172884.2,189154.0,243313.4,224927.0,191195.2
14,111192.6,132320.0,149082.8,167645.0,108065.6,157968.8
17,277705.6,212654.0,313064.4,259344.8,252750.2,179440.0
16,98729.6,124050.4,145041.2,179215.6,111481.8,101180.6
19,344752.4,342459.6,185990.4,269636.8,477557.6,274421.0
18,186183.4,195844.0,215455.8,223945.6,173496.0,202825.0
20,150314.4,141945.2,195315.8,315785.8,280273.8,180755.0
1,214700.2,199921.4,257286.2,214083.6,320461.6,249252.4
3,93470.2,63360.6,102099.8,45715.4,102671.2,67602.4
2,290956.8,140006.8,170409.4,176258.4,223372.8,200704.8
5,167458.8,168410.8,198201.4,185852.8,200532.2,180338.6
4,174300.2,128239.8,192624.8,200040.8,162734.4,159735.2
7,169986.4,178960.8,181956.4,208530.2,248149.0,155782.2
6,189974.4,125187.8,159822.6,185949.8,152789.8,132907.8
9,257966.8,177017.8,194520.6,221203.8,240705.2,295932.8
8,181884.4,226601.0,152256.8,165187.2,130223.4,255713.6
