taskid,HIGH,LOW
11,147873.4,161038.866667
10,247577.4,337360.8
13,162372.866667,134207.066667
12,150402.533333,146249.733333
15,201783.866667,226287.066667
14,149682.6,125742.333333
17,261687.733333,236631.933333
16,149435.733333,103797.333333
19,266028.933333,365577.0
18,211748.466667,187501.466667
20,217682.266667,203781.066667
1,223763.733333,261471.4
3,70391.9333333,87914.6
2,162224.866667,238344.8
5,184155.0,182776.533333
4,173635.133333,165589.933333
7,189815.8,191305.866667
6,156986.733333,158557.333333
9,197580.733333,264868.266667
8,181348.333333,189273.8
