taskid,MIDSAT+LOW,SAT+HIGH,UNSAT+HIGH,MIDSAT+HIGH,UNSAT+LOW,SAT+LOW
11,4.8,4.6,3.6,4.2,4.75,4.2
10,4.6,4.2,3.6,3.4,4.4,3.8
13,4.8,4.0,4.2,4.0,4.2,4.8
12,5.0,4.4,4.0,3.4,4.6,4.6
15,4.4,4.2,3.8,3.8,4.2,4.4
14,4.6,4.4,4.2,3.6,3.8,4.2
17,2.4,3.4,3.0,3.2,3.6,4.2
16,3.6,3.4,3.6,4.6,4.6,4.2
19,2.2,1.4,2.4,3.4,2.6,2.8
18,4.4,4.0,4.0,4.2,3.6,4.0
20,4.6,4.6,3.6,3.4,5.0,4.0
1,3.6,4.6,3.2,3.8,3.8,4.2
3,4.4,3.8,4.4,4.8,5.0,4.0
2,3.8,4.0,3.2,4.0,4.2,4.4
5,4.4,4.4,4.2,4.6,4.2,4.6
4,5.0,4.8,4.6,4.6,4.6,4.4
7,4.6,3.8,4.4,4.2,4.6,3.6
6,4.8,4.4,4.8,4.4,4.6,4.4
9,3.2,3.0,3.6,4.0,3.4,4.2
8,4.2,4.0,4.2,4.0,4.2,4.4
