id	idx	taskidx	option	temporal	status
1	1	1	MIDSAT	HIGH	0
2	26	1	MIDSAT	LOW	0
3	1	2	UNSAT	HIGH	0
4	26	2	UNSAT	LOW	0
5	1	3	HIDDEN	HIGH	0
6	26	3	HIDDEN	LOW	0
7	1	4	SAT	HIGH	0
8	26	4	SAT	LOW	0
9	1	5	MIDSAT	HIGH	0
10	26	5	MIDSAT	LOW	0
11	1	6	UNSAT	HIGH	0
12	26	6	UNSAT	LOW	0
13	1	7	MIDSAT	HIGH	0
14	26	7	MIDSAT	LOW	0
15	1	8	HIDDEN	HIGH	0
16	26	8	HIDDEN	LOW	0
17	1	9	UNSAT	HIGH	0
18	26	9	UNSAT	LOW	0
19	1	10	SAT	HIGH	0
20	26	10	SAT	LOW	0
21	1	11	HIDDEN	HIGH	0
22	26	11	HIDDEN	LOW	0
23	1	12	UNSAT	HIGH	0
24	26	12	UNSAT	LOW	0
25	1	13	HIDDEN	HIGH	0
26	26	13	HIDDEN	LOW	0
27	1	14	SAT	HIGH	0
28	26	14	SAT	LOW	0
29	1	15	HIDDEN	HIGH	0
30	26	15	HIDDEN	LOW	0
31	1	16	HIDDEN	HIGH	0
32	26	16	HIDDEN	LOW	0
33	1	17	SAT	HIGH	0
34	26	17	SAT	LOW	0
35	1	18	MIDSAT	HIGH	0
36	26	18	MIDSAT	LOW	0
37	1	19	HIDDEN	HIGH	0
38	26	19	HIDDEN	LOW	0
39	1	20	HIDDEN	HIGH	0
40	26	20	HIDDEN	LOW	0
41	2	1	UNSAT	HIGH	0
42	27	1	UNSAT	LOW	0
43	2	2	HIDDEN	HIGH	0
44	27	2	HIDDEN	LOW	0
45	2	3	SAT	HIGH	0
46	27	3	SAT	LOW	0
47	2	4	MIDSAT	HIGH	0
48	27	4	MIDSAT	LOW	0
49	2	5	SAT	HIGH	0
50	27	5	SAT	LOW	0
51	2	6	HIDDEN	HIGH	0
52	27	6	HIDDEN	LOW	0
53	2	7	HIDDEN	HIGH	0
54	27	7	HIDDEN	LOW	0
55	2	8	SAT	HIGH	0
56	27	8	SAT	LOW	0
57	2	9	MIDSAT	HIGH	0
58	27	9	MIDSAT	LOW	0
59	2	10	MIDSAT	HIGH	0
60	27	10	MIDSAT	LOW	0
61	2	11	HIDDEN	HIGH	0
62	27	11	HIDDEN	LOW	0
63	2	12	MIDSAT	HIGH	0
64	27	12	MIDSAT	LOW	0
65	2	13	HIDDEN	HIGH	0
66	27	13	HIDDEN	LOW	0
67	2	14	HIDDEN	HIGH	0
68	27	14	HIDDEN	LOW	0
69	2	15	HIDDEN	HIGH	0
70	27	15	HIDDEN	LOW	0
71	2	16	UNSAT	HIGH	0
72	27	16	UNSAT	LOW	0
73	2	17	UNSAT	HIGH	0
74	27	17	UNSAT	LOW	0
75	2	18	HIDDEN	HIGH	0
76	27	18	HIDDEN	LOW	0
77	2	19	SAT	HIGH	0
78	27	19	SAT	LOW	0
79	2	20	UNSAT	HIGH	0
80	27	20	UNSAT	LOW	0
81	3	1	SAT	HIGH	0
82	28	1	SAT	LOW	0
83	3	2	SAT	HIGH	0
84	28	2	SAT	LOW	0
85	3	3	MIDSAT	HIGH	0
86	28	3	MIDSAT	LOW	0
87	3	4	HIDDEN	HIGH	0
88	28	4	HIDDEN	LOW	0
89	3	5	HIDDEN	HIGH	0
90	28	5	HIDDEN	LOW	0
91	3	6	SAT	HIGH	0
92	28	6	SAT	LOW	0
93	3	7	SAT	HIGH	0
94	28	7	SAT	LOW	0
95	3	8	MIDSAT	HIGH	0
96	28	8	MIDSAT	LOW	0
97	3	9	HIDDEN	HIGH	0
98	28	9	HIDDEN	LOW	0
99	3	10	HIDDEN	HIGH	0
100	28	10	HIDDEN	LOW	0
101	3	11	UNSAT	HIGH	0
102	28	11	UNSAT	LOW	0
103	3	12	HIDDEN	HIGH	0
104	28	12	HIDDEN	LOW	0
105	3	13	MIDSAT	HIGH	0
106	28	13	MIDSAT	LOW	0
107	3	14	UNSAT	HIGH	0
108	28	14	UNSAT	LOW	0
109	3	15	UNSAT	HIGH	0
110	28	15	UNSAT	LOW	0
111	3	16	MIDSAT	HIGH	0
112	28	16	MIDSAT	LOW	0
113	3	17	HIDDEN	HIGH	0
114	28	17	HIDDEN	LOW	0
115	3	18	UNSAT	HIGH	0
116	28	18	UNSAT	LOW	0
117	3	19	HIDDEN	HIGH	0
118	28	19	HIDDEN	LOW	0
119	3	20	HIDDEN	HIGH	0
120	28	20	HIDDEN	LOW	0
121	4	1	HIDDEN	HIGH	0
122	29	1	HIDDEN	LOW	0
123	4	2	HIDDEN	HIGH	0
124	29	2	HIDDEN	LOW	0
125	4	3	HIDDEN	HIGH	0
126	29	3	HIDDEN	LOW	0
127	4	4	UNSAT	HIGH	0
128	29	4	UNSAT	LOW	0
129	4	5	HIDDEN	HIGH	0
130	29	5	HIDDEN	LOW	0
131	4	6	MIDSAT	HIGH	0
132	29	6	MIDSAT	LOW	0
133	4	7	UNSAT	HIGH	0
134	29	7	UNSAT	LOW	0
135	4	8	HIDDEN	HIGH	0
136	29	8	HIDDEN	LOW	0
137	4	9	SAT	HIGH	0
138	29	9	SAT	LOW	0
139	4	10	UNSAT	HIGH	0
140	29	10	UNSAT	LOW	0
141	4	11	MIDSAT	HIGH	0
142	29	11	MIDSAT	LOW	0
143	4	12	HIDDEN	HIGH	0
144	29	12	HIDDEN	LOW	0
145	4	13	SAT	HIGH	0
146	29	13	SAT	LOW	0
147	4	14	HIDDEN	HIGH	0
148	29	14	HIDDEN	LOW	0
149	4	15	SAT	HIGH	0
150	29	15	SAT	LOW	0
151	4	16	SAT	HIGH	0
152	29	16	SAT	LOW	0
153	4	17	MIDSAT	HIGH	0
154	29	17	MIDSAT	LOW	0
155	4	18	HIDDEN	HIGH	0
156	29	18	HIDDEN	LOW	0
157	4	19	UNSAT	HIGH	0
158	29	19	UNSAT	LOW	0
159	4	20	MIDSAT	HIGH	0
160	29	20	MIDSAT	LOW	0
161	5	1	HIDDEN	HIGH	0
162	30	1	HIDDEN	LOW	0
163	5	2	MIDSAT	HIGH	0
164	30	2	MIDSAT	LOW	0
165	5	3	UNSAT	HIGH	0
166	30	3	UNSAT	LOW	0
167	5	4	HIDDEN	HIGH	0
168	30	4	HIDDEN	LOW	0
169	5	5	UNSAT	HIGH	0
170	30	5	UNSAT	LOW	0
171	5	6	HIDDEN	HIGH	0
172	30	6	HIDDEN	LOW	0
173	5	7	HIDDEN	HIGH	0
174	30	7	HIDDEN	LOW	0
175	5	8	UNSAT	HIGH	0
176	30	8	UNSAT	LOW	0
177	5	9	HIDDEN	HIGH	0
178	30	9	HIDDEN	LOW	0
179	5	10	HIDDEN	HIGH	0
180	30	10	HIDDEN	LOW	0
181	5	11	SAT	HIGH	0
182	30	11	SAT	LOW	0
183	5	12	SAT	HIGH	0
184	30	12	SAT	LOW	0
185	5	13	UNSAT	HIGH	0
186	30	13	UNSAT	LOW	0
187	5	14	MIDSAT	HIGH	0
188	30	14	MIDSAT	LOW	0
189	5	15	MIDSAT	HIGH	0
190	30	15	MIDSAT	LOW	0
191	5	16	HIDDEN	HIGH	0
192	30	16	HIDDEN	LOW	0
193	5	17	HIDDEN	HIGH	0
194	30	17	HIDDEN	LOW	0
195	5	18	SAT	HIGH	0
196	30	18	SAT	LOW	0
197	5	19	MIDSAT	HIGH	0
198	30	19	MIDSAT	LOW	0
199	5	20	SAT	HIGH	0
200	30	20	SAT	LOW	0
201	6	1	UNSAT	HIGH	0
202	31	1	UNSAT	LOW	0
203	6	2	MIDSAT	HIGH	0
204	31	2	MIDSAT	LOW	0
205	6	3	HIDDEN	HIGH	0
206	31	3	HIDDEN	LOW	0
207	6	4	SAT	HIGH	0
208	31	4	SAT	LOW	0
209	6	5	HIDDEN	HIGH	0
210	31	5	HIDDEN	LOW	0
211	6	6	UNSAT	HIGH	0
212	31	6	UNSAT	LOW	0
213	6	7	HIDDEN	HIGH	0
214	31	7	HIDDEN	LOW	0
215	6	8	HIDDEN	HIGH	0
216	31	8	HIDDEN	LOW	0
217	6	9	UNSAT	HIGH	0
218	31	9	UNSAT	LOW	0
219	6	10	HIDDEN	HIGH	0
220	31	10	HIDDEN	LOW	0
221	6	11	HIDDEN	HIGH	0
222	31	11	HIDDEN	LOW	0
223	6	12	UNSAT	HIGH	0
224	31	12	UNSAT	LOW	0
225	6	13	MIDSAT	HIGH	0
226	31	13	MIDSAT	LOW	0
227	6	14	SAT	HIGH	0
