task id,high&sat num of etime > dtime,high&sat num of dtime > etime,high&midsat num of etime > dtime,high&midsat num of dtime > etime,high&unsat num of etime > dtime,high&unsat num of dtime > etime,low&sat num of etime > dtime,low&sat num of dtime > etime,low&midsat num of etime > dtime,low&midsat num of dtime > etime,low&unsat num of etime > dtime,low&unsat num of dtime > etime
1,3,2,5,0,3,2,2,3,4,1,1,4
2,2,3,4,1,1,4,1,4,5,0,2,3
3,2,3,4,1,4,1,1,4,1,4,3,2
4,2,3,2,3,5,0,4,1,1,4,2,3
5,4,1,3,2,3,2,2,3,2,3,4,1
6,3,2,5,0,4,1,2,3,2,3,3,2
7,5,0,2,3,4,1,0,5,2,3,3,2
8,2,3,4,1,2,3,2,3,0,5,5,0
9,4,1,4,1,3,2,3,2,2,3,2,3
10,2,3,3,2,4,1,2,3,3,2,2,3
11,1,4,4,1,3,2,5,0,2,3,2,3
12,5,0,3,2,4,1,4,1,3,2,2,3
13,5,0,3,2,4,1,4,1,1,4,2,3
14,4,1,4,1,2,3,3,2,3,2,4,1
15,4,1,2,3,4,1,4,1,3,2,1,4
16,4,1,3,2,3,2,3,2,4,1,3,2
17,1,4,2,3,4,1,3,2,1,4,1,4
18,3,2,3,2,3,2,3,2,2,3,2,3
19,4,1,3,2,4,1,1,4,3,2,2,3
20,4,1,4,1,2,3,3,2,4,1,1,4
